order_quantity,number_of_items,current_stock,reorder_level,shortage_quantity,supplier_lead_time,processing_time,shipping_time,fulfillment_days
22,4,134,61,0,13.0,1.45,4.04,5.82
6,4,66,79,0,21.3,1.47,3.31,5.0
32,5,151,54,0,9.4,1.3,4.28,5.79
38,3,7,24,31,6.0,1.19,4.26,12.67
3,3,98,54,0,7.1,1.06,1.27,2.66
5,5,65,73,0,13.5,1.62,3.38,5.22
18,2,115,45,0,8.2,1.29,3.17,4.8
12,1,3,22,9,5.8,1.24,2.9,13.22
16,6,226,107,0,29.6,1.46,1.63,3.29
8,5,5,74,3,16.8,1.44,3.5,23.96
36,5,55,32,0,7.5,1.29,3.8,5.35
33,2,72,87,0,24.1,1.41,1.48,3.07
17,4,8,116,9,26.8,1.27,1.89,32.56
45,3,79,92,0,21.9,1.72,3.48,5.55
25,7,111,52,0,9.5,1.79,3.41,5.42
8,5,2,59,6,10.4,1.0,3.54,18.11
23,3,18,61,5,13.3,1.47,3.84,19.6
7,1,37,45,0,7.9,1.06,5.83,7.18
36,2,109,76,0,16.2,1.17,3.91,5.24
16,2,5,67,11,12.2,2.14,5.67,23.94
14,5,0,76,14,16.0,1.78,5.86,25.93
9,2,6,63,3,8.9,1.09,2.66,13.59
49,3,75,58,0,11.8,1.15,1.35,2.59
14,2,61,27,0,6.5,0.83,3.0,4.13
11,4,75,58,0,8.5,1.19,3.75,5.07
12,4,1,47,11,9.2,1.54,3.73,17.61
27,4,274,56,0,13.5,1.61,2.05,3.72
23,4,4,77,19,15.5,1.72,2.25,21.06
24,3,9,46,15,6.9,1.4,3.43,14.12
24,7,253,64,0,17.8,1.38,1.17,2.63
113,5,57,68,56,12.8,1.85,6.21,26.56
11,10,149,84,0,14.0,1.84,1.33,3.52
10,6,119,73,0,15.5,1.49,1.23,3.01
8,1,5,41,3,7.4,1.08,5.99,15.35
29,7,60,60,0,17.7,1.62,5.74,7.54
45,5,175,67,0,8.3,1.36,6.93,8.56
15,4,1,47,14,10.2,2.3,5.88,22.53
8,4,175,37,0,9.6,0.97,3.49,4.77
8,3,2,98,6,24.1,1.37,1.86,29.95
30,2,50,54,0,7.5,1.32,6.99,8.42
32,5,128,102,0,21.9,1.31,3.4,4.79
27,1,125,75,0,19.4,1.17,1.0,2.24
9,4,38,39,0,6.4,1.33,3.47,4.88
20,4,5,46,15,8.2,1.07,1.0,12.97
18,6,5,56,13,8.3,1.0,1.27,12.57
20,3,75,71,0,14.1,0.86,4.17,5.12
36,11,133,79,0,17.7,1.84,1.14,3.03
20,4,1,56,19,8.3,1.42,1.03,12.04
30,9,36,25,0,5.9,1.75,3.89,5.78
17,5,2,69,15,14.1,1.41,3.4,20.87
21,5,49,58,0,11.2,1.5,6.54,8.2
29,3,72,40,0,6.3,1.09,1.37,2.56
4,4,126,60,0,13.3,1.08,3.79,5.0
12,4,75,56,0,10.9,1.46,5.31,6.84
11,3,0,36,11,6.9,1.36,1.08,11.18
9,3,5,75,4,8.8,0.99,5.92,18.99
13,4,104,102,0,21.3,1.1,5.82,7.22
63,3,125,45,0,4.3,1.36,2.62,4.14
8,3,5,38,3,7.2,1.26,3.96,14.29
39,2,12,30,27,6.1,1.03,1.95,10.08
4,4,0,49,4,9.7,1.52,5.92,22.36
12,4,3,58,9,11.6,1.41,5.37,20.38
19,3,71,38,0,10.3,1.08,4.25,5.63
28,9,240,59,0,10.8,1.46,5.27,6.96
31,5,17,69,14,11.9,1.86,3.25,19.0
34,3,0,25,34,8.7,1.15,3.76,15.26
12,1,108,99,0,27.5,0.61,2.67,3.53
11,4,91,68,0,11.2,1.02,2.28,3.41
36,3,117,45,0,6.5,1.2,3.78,5.11
14,4,10,45,4,10.5,1.2,4.47,17.83
5,3,0,73,5,14.2,1.16,1.28,18.82
6,1,259,62,0,15.1,0.78,3.7,4.75
7,5,118,60,0,13.3,1.23,6.66,7.96
26,5,43,45,0,11.5,1.69,5.37,7.25
19,4,57,44,0,7.4,1.12,3.67,5.06
31,3,92,70,0,12.4,1.6,3.7,5.55
11,4,65,49,0,10.4,1.38,6.18,7.67
19,5,0,52,19,8.1,1.57,3.03,14.26
29,3,0,55,29,11.2,1.58,3.7,19.71
12,3,5,80,7,15.4,1.33,3.63,27.75
25,5,40,34,0,5.9,1.15,5.75,7.03
9,8,6,59,3,7.4,1.82,3.85,15.9
12,2,62,38,0,3.5,0.87,4.11,5.14
12,8,63,69,0,14.5,1.6,5.68,7.57
6,2,91,45,0,6.8,1.24,3.72,5.1
25,5,95,71,0,17.3,1.05,6.62,8.02
11,4,78,46,0,9.8,1.1,4.13,8.85
17,4,6,65,11,13.2,1.59,5.93,24.13
25,3,0,54,25,14.3,1.31,6.48,23.88
25,7,8,48,17,10.6,1.51,3.39,18.93
30,8,212,68,0,17.9,1.6,6.37,8.29
15,4,199,62,0,11.3,1.27,3.17,4.55
11,7,57,64,0,11.8,1.81,2.82,4.8
15,5,9,53,6,6.4,1.58,3.74,13.81
4,2,2,86,2,21.6,1.16,3.9,29.05
4,4,94,61,0,15.4,1.04,3.82,4.92
5,3,0,28,5,7.1,1.16,5.63,15.41
7,4,193,43,0,6.4,1.47,2.39,4.13
24,4,111,63,0,9.2,0.81,3.89,4.86
7,3,154,50,0,9.7,0.81,4.16,5.08
12,3,98,55,0,10.9,1.41,2.65,4.4
53,5,187,76,0,17.4,1.53,3.36,5.04
12,3,7,80,5,17.8,1.41,5.58,29.34
32,6,144,79,0,15.3,1.25,6.11,7.44
7,3,97,56,0,5.1,1.08,4.1,5.38
14,2,428,90,0,20.2,1.03,1.4,2.71
7,2,4,77,3,16.2,1.47,3.27,24.26
12,7,116,61,0,13.7,1.47,3.68,5.25
35,8,111,51,0,9.9,2.48,1.0,8.57
3,2,2,61,1,13.2,1.02,1.88,19.23
24,1,97,36,0,6.0,1.11,6.48,7.77
20,4,0,63,20,13.0,1.49,3.5,19.42
10,4,101,77,0,15.8,1.06,5.8,7.14
4,2,112,60,0,12.2,1.05,3.37,4.72
18,2,10,49,8,9.8,1.3,5.88,18.36
10,5,128,79,0,18.1,1.23,3.47,4.84
20,6,9,93,11,25.9,1.8,2.8,32.03
17,3,162,72,0,13.6,0.87,3.69,4.69
70,4,0,66,70,15.7,1.28,3.33,22.87
13,5,100,43,0,10.7,1.32,3.51,4.96
7,7,116,54,0,9.1,1.73,1.24,3.25
19,6,99,77,0,16.2,1.43,3.67,5.34
20,4,116,85,0,23.0,1.7,6.6,8.63
56,5,53,53,3,8.3,1.32,6.09,17.42
35,3,121,49,0,7.2,1.15,5.26,6.62
23,8,135,68,0,8.8,1.3,6.0,7.49
61,5,43,44,18,8.1,1.51,3.59,16.43
6,3,148,79,0,18.7,1.21,5.98,7.53
9,9,78,71,0,17.7,1.22,3.16,4.68
7,3,65,53,0,8.7,0.88,1.48,2.47
12,7,183,58,0,12.0,1.3,3.88,5.27
5,5,0,53,5,7.3,1.54,1.37,12.27
29,6,18,49,11,10.5,1.57,2.12,15.91
13,3,69,47,0,7.1,1.07,3.21,4.59
4,4,108,49,0,9.9,0.99,5.54,6.74
7,2,0,25,7,7.2,1.01,1.4,13.8
22,7,11,84,11,18.0,2.0,2.59,32.12
35,5,145,41,0,12.1,1.38,3.5,4.99
99,6,57,60,42,12.9,2.01,5.85,22.77
226,5,192,45,34,8.3,1.94,3.81,15.5
24,6,6,50,18,9.4,1.67,2.73,15.54
7,6,0,58,7,11.7,1.55,3.84,20.58
2,2,1,94,1,23.0,1.04,3.57,34.24
21,2,7,59,14,11.2,1.16,4.21,19.7
8,4,155,81,0,19.5,1.03,3.42,4.53
11,5,1,77,10,9.7,1.49,3.65,17.88
9,3,106,53,0,11.4,1.11,3.79,5.1
14,4,2,64,12,17.5,1.28,2.58,23.53
43,4,261,54,0,14.9,1.54,2.0,3.72
19,2,11,53,8,8.1,1.68,1.44,13.52
14,6,7,46,7,13.0,1.43,1.0,17.24
6,3,54,51,0,13.4,1.36,5.97,7.55
4,4,85,52,0,14.3,1.25,6.53,7.85
11,1,108,51,0,8.3,0.9,1.35,2.37
16,6,4,55,12,6.8,1.8,3.55,14.18
81,4,231,75,0,20.0,1.53,2.6,4.32
18,4,109,108,0,26.1,1.55,3.11,4.74
40,5,114,39,0,14.1,1.35,3.82,5.44
10,1,57,43,0,9.5,0.88,3.98,4.97
6,4,0,86,6,18.7,1.12,3.59,25.32
7,1,0,42,7,7.7,1.13,3.76,13.85
9,3,5,56,4,8.0,1.41,1.32,12.99
112,3,15,64,97,20.7,1.86,3.51,30.75
8,3,339,93,0,25.0,0.92,1.02,2.04
35,5,113,53,0,9.0,1.3,5.78,7.4
7,5,0,51,7,8.2,1.59,3.49,15.67
38,7,0,61,38,11.2,1.77,1.0,18.29
23,3,79,46,0,7.4,0.99,4.58,5.92
14,5,69,29,0,6.4,1.63,3.18,5.0
16,6,82,33,0,6.5,1.63,3.59,5.29
9,1,204,84,0,12.9,1.3,2.94,4.56
25,7,103,43,0,11.0,1.51,2.14,3.81
11,2,6,62,5,17.4,1.19,4.27,30.51
5,5,312,93,0,20.7,1.25,6.03,7.58
5,4,52,54,0,13.9,1.34,1.0,2.44
19,4,113,62,0,7.5,1.26,3.04,8.02
68,5,110,64,0,5.2,1.45,6.93,8.72
19,2,1,49,18,9.7,1.29,3.72,17.99
15,5,3,53,12,9.2,1.57,4.84,17.51
21,5,25,26,0,7.6,1.54,3.27,4.99
53,1,13,74,40,13.7,1.08,3.42,20.24
20,6,0,43,20,14.2,1.65,3.74,25.94
11,4,50,47,0,12.7,1.02,6.0,7.19
45,3,0,103,45,25.6,1.58,5.22,36.29
24,1,114,47,0,6.6,0.92,1.21,6.39
66,6,138,37,0,10.0,1.64,5.59,7.29
19,2,168,50,0,11.2,1.44,1.84,3.57
5,2,3,34,2,9.5,1.31,1.26,15.03
5,3,105,46,0,9.0,1.03,3.25,4.46
73,5,0,61,73,15.2,1.57,3.38,22.57
78,7,15,41,63,8.4,1.76,3.11,14.87
14,5,0,51,14,7.8,1.33,6.68,17.73
12,5,75,68,0,14.1,1.49,4.01,5.68
61,2,25,70,36,14.0,1.39,2.03,22.15
6,1,81,39,0,6.2,0.68,2.94,3.88
7,2,133,83,0,17.5,1.73,3.66,5.67
29,2,142,95,0,23.6,1.12,3.85,5.24
12,3,30,33,0,5.6,1.22,5.54,6.98
16,5,12,74,4,15.2,1.9,1.0,22.29
14,3,6,55,8,12.4,1.18,3.05,18.85
22,5,99,55,0,11.9,1.12,5.34,9.39
58,7,160,88,0,18.0,1.6,6.47,8.17
18,2,0,69,18,12.3,1.31,3.93,19.8
29,9,98,56,0,12.1,1.49,1.35,3.06
3,3,1,58,2,9.3,0.88,1.47,13.93
16,6,101,66,0,18.4,1.29,3.19,4.55
8,6,0,37,8,6.1,1.41,7.04,17.38
5,4,92,65,0,16.4,1.13,1.3,2.65
7,1,91,46,0,8.2,0.76,5.76,6.7
12,5,92,63,0,11.0,1.23,5.94,7.48
37,4,25,50,12,7.5,1.5,5.41,16.47
5,2,97,55,0,9.7,0.89,1.62,2.81
17,3,2,47,15,7.9,1.13,2.14,13.08
11,3,8,50,3,10.0,1.43,3.42,16.34
12,4,4,86,8,16.9,1.24,3.86,24.75
41,3,185,34,0,9.2,1.5,5.12,6.83
27,7,6,32,21,5.8,1.7,5.57,19.64
55,5,166,68,0,13.7,1.09,3.54,4.8
